530
10
762500
20589
0 1 1 27 21 6 (D 0,1,1) (S 2,2,2) (S 4,4,4) (S 3,3,3) (S 24,5,23) (D 0,1,1)
0 1 2 27 32 8 (D 0,1,1) (S 27,5,6) (S 6,6,6) (S 14,6,3) (S 5,5,5) (S 29,5,2) (S 15,4,14) (D 0,1,1)
0 1 3 27 54 7 (D 0,1,1) (S 43,2,19) (S 38,19,14) (S 41,14,5) (S 34,3,2) (S 21,12,22) (D 0,1,1)
0 1 4 27 50 6 (D 0,1,1) (S 1,1,1) (S 35,12,26) (S 19,12,18) (S 7,7,7) (D 0,1,1)
0 1 5 27 76 6 (D 0,1,1) (S 16,5,3) (S 36,23,27) (S 42,22,13) (S 22,11,17) (D 0,1,1)
0 1 6 27 51 6 (D 0,1,1) (S 45,22,17) (S 18,17,16) (S 11,11,11) (S 39,16,24) (D 0,1,1)
0 1 7 27 56 6 (D 0,1,1) (S 23,18,15) (S 20,15,21) (S 9,9,9) (S 44,10,24) (D 0,1,1)
0 1 8 27 47 6 (D 0,1,1) (S 26,7,9) (S 10,10,10) (S 40,10,25) (S 33,25,15) (D 0,1,1)
0 1 9 27 87 9 (D 0,1,1) (S 17,12,15) (S 37,9,24) (S 28,7,25) (S 31,10,7) (S 30,21,20) (S 12,1,12) (S 32,21,7) (D 0,1,1)
0 1 10 6 56 5 (D 0,1,1) (S 13,12,13) (S 25,11,24) (S 8,8,8) (D 0,1,1)
